AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-6010,Bridge and Lock Tenders,broad,"3,460",4.0,,,,,24.07,"50,070",1.4,13.94,16.03,23.62,30.89,33.60,"28,990","33,340","49,120","64,250","69,880",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-6011,Bridge and Lock Tenders,detailed,"3,460",4.0,,,,,24.07,"50,070",1.4,13.94,16.03,23.62,30.89,33.60,"28,990","33,340","49,120","64,250","69,880",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-6020,Parking Attendants,broad,"118,130",4.0,,,,,15.72,"32,700",0.6,11.01,13.69,15.79,17.51,19.47,"22,890","28,470","32,840","36,420","40,500",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-6021,Parking Attendants,detailed,"118,130",4.0,,,,,15.72,"32,700",0.6,11.01,13.69,15.79,17.51,19.47,"22,890","28,470","32,840","36,420","40,500",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-6030,Transportation Service Attendants,broad,"117,460",1.5,,,,,17.37,"36,140",0.4,13.45,14.53,16.83,18.65,22.38,"27,980","30,230","35,000","38,790","46,540",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-6031,Automotive and Watercraft Service Attendants,detailed,"92,530",1.8,,,,,16.60,"34,530",0.4,13.19,14.25,16.26,17.87,21.07,"27,430","29,640","33,820","37,170","43,830",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-6032,Aircraft Service Attendants,detailed,"24,940",4.1,,,,,20.25,"42,110",0.6,15.40,17.30,18.80,22.12,25.87,"32,040","35,980","39,110","46,010","53,820",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-6040,Traffic Technicians,broad,"7,530",2.4,,,,,27.25,"56,680",0.7,17.45,20.56,25.12,32.39,37.90,"36,290","42,770","52,240","67,370","78,840",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-6041,Traffic Technicians,detailed,"7,530",2.4,,,,,27.25,"56,680",0.7,17.45,20.56,25.12,32.39,37.90,"36,290","42,770","52,240","67,370","78,840",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-6050,Transportation Inspectors,broad,"27,670",1.8,,,,,40.35,"83,920",0.8,19.13,28.90,41.96,46.94,62.03,"39,790","60,110","87,290","97,630","129,020",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-6051,Transportation Inspectors,detailed,"27,670",1.8,,,,,40.35,"83,920",0.8,19.13,28.90,41.96,46.94,62.03,"39,790","60,110","87,290","97,630","129,020",,
